positive,The Da Vinci Code book is just awesome.
positive,i liked the Da Vinci Code a lot.
positive,i liked the Da Vinci Code a lot.
positive,I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.
positive,that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code
positive,I loved the Da Vinci Code
positive,i thought da vinci code was great
positive,The Da Vinci Code is actually a good movie...
positive,I thought the Da Vinci Code was a pretty good book.
positive,The Da Vinci Code is one of the most beautiful movies ive ever seen.
positive,The Da Vinci Code is an * amazing * book
positive,then I turn on the light and the radio and enjoy my Da Vinci Code.
positive,The Da Vinci Code was REALLY good.
positive,i love da vinci code....
positive,i loved da vinci code..
positive,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...
positive,THE DA VINCI CODE is AN AWESOME BOOK....
positive,very da vinci code slash amazing race.
positive,Hey I loved The Da Vinci Code!..
positive,also loved the da vinci code..
positive,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.
positive,I do like Angels and Demons more then The Da Vinci Code.
positive,The Da Vinci Code was a really good movie.
positive,I really like The Da Vinci Code.
positive,Da Vinci Code is amazing.
positive,The Da Vinci Code was awesome...
positive,The Da Vinci Code's backtory on various religious historical figures and such were interesting at times
positive,Book ( s ): I love The Da Vinci Code..
positive,And then we went to see The Da Vinci Code
positive,I love the Da Vinci Code.
positive,Da Vinci code is awesome!
positive,The Da Vinci Code is awesome.
positive,The Da Vinci Code is SUCH an awesome book!
positive,I LOVE THE DA VINCI CODE...
positive,I loved The Da Vinci Code.
positive,the da vinci code is awesome!
positive,oh so beautiful Da Vinci Code...
positive,i loved the da vinci code.
positive,The Da Vinci Code is an awesome book.
positive,Da vinci code is an awesome book.
positive,I miss ripping acoustic music and the Da Vinci Code...
positive,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.
positive,Da Vinci Code is of course a awesome book
positive,"I love "" The Da Vinci Code!"
positive,i LOVED the Da Vinci Code.
positive,da vinci code is awesome.
positive,I love The Da Vinci Code.
positive,the da vinci code is awesome!
positive,omg i love the da vinci code that is such an awesome book!
positive,The Da Vinci Code is an awesome book...
negative,da vinci code was a terrible movie.
negative,i thought the da vinci code movie was really boring.
negative,Da Vinci Code does suck.
negative,I think this bolsters my arguments that both England and the Da Vinci Code sucks...
negative,And better..-We all know Da Vinci code is bogus and inaccurate.
negative,I really hate The Da Vinci Code.
negative,The more you say The Da Vinci Code is evil
negative,da vinci code sucked too long and too slow.....
negative,Da Vinci Code sucked
negative,not sure if i already threw this at you but I hate the Da Vinci Code.
negative,This is why I hate the Da Vinci Code: because it takes nothing but a fucking pop culture phenomenon to get people to question things.
negative,I hate the Da Vinci Code
negative,Da Vinci Code really did suck and congrats on beating Jay it must of been like that time at Rickards when we beat them in the finals.
negative,The Da Vinci Code sucks.
negative,I hated The Da Vinci Code.
negative,I hate the Da Vinci Code
negative,I know Da Vinci Code is going to suck.
negative,The Da Vinci Code sucks..
negative,I also think The Da Vinci Code sucked balls and it's the worst piece of shit I've ever read.
negative,Thank God Someone Has Sense I hate The Da Vinci Code.
negative,RACHEL you could of told me your nans a libarian before i said i hated'The da vinci code '!!
negative,The Da Vinci code sucks and is also a page turner...
negative,then was the da vinci code
negative,I hated The Da Vinci Code.
negative,I hated The Da Vinci Code.
negative,the da vinci code sucks btw..
negative,I hate the Da Vinci Code..
negative,i fucking hated the da vinci code.
negative,"we wanted to watch "" The Da Vinci Code "" but the timings sucked so we ended up going fer "" Runaway Vacation "" which is a really good movie..!"
negative,Had an interesting conversation with one of the professors I work for about how Da Vinci Code sucks...
negative,ERM da vinci code and it sucked...
negative,ERM da vinci code and it sucked..
negative,ERM da vinci code and it sucked.
negative,I overslept though so jenn and i didn't get to see the da vinci code which sucked and now i have no money so yeah maybe later.
negative,DA VINCI CODE-SUCKED BALLZ.
negative,well DA VINCI CODE SUCKS!!
negative,The Da Vinci Code sucked ass if you're wondering.
negative,Da Vinci Code sucks...
negative,I hate the Da Vinci Code
negative,about how much i hate the da vinci code.
negative,And I absolutely loathe the Da Vinci Code.
negative,I hated the da vinci code...
negative,The Da Vinci Code sucked
negative,the da vinci code sucked lol...
negative,I forgot how much I hated Da Vinci Code.
negative,everyone said the da vinci code sucks ass = \.
negative,lol nd i heard da vinci code sucks..
negative,Da Vinci Code it is suck
negative,Da Vinci Code sucks.
negative,I HATED Da Vinci Code!
